,presynaptic_neuron,postsynaptic_neuron,actual_sign,source,target,pseudoinverse_predicted_sign,regularized_predicted_sign,heavily_regularized_sign
176,RMHL,AVAR,1.0,214,52,-0.08630194697833529,-0.0367225268991858,-5.6699955169654135e-08
177,RMHL,SAAVL,-1.0,214,218,0.010581457924503329,-0.020581712021557598,-2.9999976280240284e-08
178,SAADL,AVAL,1.0,216,51,-0.16551147124392135,-0.1318374369269651,-2.226998239203172e-07
179,SAADR,AVAL,1.0,217,51,-0.08011294651098999,-0.17758605786103082,-3.108997541842236e-07
180,SAADR,AVAR,1.0,217,52,-0.020294592946587406,-0.16669597370863998,-3.0049976240707356e-07
181,SAAVL,AVAL,1.0,218,51,0.005324318026689721,-0.10752326711312428,-1.8539985341188505e-07
182,SAAVR,AVAR,1.0,219,52,-0.08764737312527843,0.035023908738700545,1.0389991785056526e-07
183,SAAVR,SAAVR,-1.0,219,219,0.08835182464822808,0.005187543588586927,1.5599987665724883e-08
184,SDQL,AVAL,1.0,223,51,0.1031327299796988,0.16017368394919648,3.8809969314537456e-07
185,SDQL,AVAR,1.0,223,52,-0.3177270120304476,0.1690147229424163,4.1719967013720793e-07
186,SDQL,SAADR,-1.0,223,217,-0.043970620426744614,0.005314913666523126,2.5399979917270063e-08
187,SDQL,SIBVL,1.0,223,231,-0.14687841980615285,0.03651697840322979,8.509993271494809e-08
188,SDQR,AVAL,1.0,224,51,0.040657994572426935,0.14826177577413605,3.4009973109699026e-07
189,SIADR,AVAL,1.0,226,51,0.055083075078281675,0.004524531944624054,1.3999988930778806e-08
190,SMBDL,SAAVR,-1.0,233,219,0.03381922817437733,-0.004044469159321448,-5.09999596764085e-09
191,SMBDR,AVAL,1.0,234,51,0.09186508424575282,-0.0049692500615881015,-5.7999954141797915e-09
192,SMBDR,SAAVL,-1.0,234,218,0.03600756921682962,-0.0017534374402597588,-2.4999980233533583e-09
193,SMBVL,SAADL,-1.0,235,216,-0.08724734078577334,0.0019701430163274716,1.02999918562158e-08
194,SMBVR,SAADR,-1.0,236,217,0.028926814703510884,-0.037284974601954894,-5.619995556498346e-08
195,SMDDL,SAAVR,-1.0,237,219,0.022162247137611692,-0.07492497861683702,-1.1609990820452992e-07
196,SMDDL,SIBDL,1.0,237,229,-0.01180670262198587,-0.01632451437251855,-2.6099979363809057e-08
197,SMDDL,SMDDR,-1.0,237,238,-0.09222723029307209,-0.23449626558192588,-3.609997145722248e-07
198,SMDDL,SMDVR,-1.0,237,240,-0.38041665541767916,-0.20444152491814727,-3.159997501518645e-07
199,SMDDR,SMDDL,-1.0,238,237,0.14472185684514613,-0.14079132139467557,-2.169998284270714e-07
200,SMDDR,SMDVL,-1.0,238,239,0.12583209861382388,-0.13974850503928263,-2.1499983000838864e-07
201,SMDVL,SMDDR,-1.0,239,238,0.2816299465596699,-0.06989732426390419,-1.0019992077600263e-07
202,SMDVL,SMDVR,-1.0,239,240,0.1530397117089597,-0.06253626408359647,-8.889992971044546e-08
203,SMDVR,AVAR,1.0,240,52,-0.0003880592414887106,-0.12497375180198425,-2.156998294549277e-07
204,SMDVR,SMDDL,-1.0,240,237,-0.18105702497009563,-0.139226744605934,-2.093998344360772e-07
205,SMDVR,SMDVL,-1.0,240,239,0.015315483914448525,-0.14242112683167327,-2.158998292967959e-07
206,SMDVR,VB01,1.0,240,265,0.08592788642801502,-0.016199140895798988,-3.0999975489581664e-08
207,URXL,AVAL,1.0,247,51,0.022374782900874246,0.05874632492875286,1.5499987744790782e-07
208,URXR,AVAR,1.0,248,52,0.016300271033661818,0.09508188310838608,2.669997888941382e-07
209,URYDL,RIBL,1.0,249,184,0.03511515023883032,-0.04733611053383731,-6.919994528642096e-08
210,URYDR,RIBR,1.0,250,185,-0.03831673131949899,-0.03651805355230009,-4.9299961020528236e-08
211,URYVL,RIAL,1.0,251,182,-0.07295579498584077,0.13572014164924853,1.814998564954539e-07
212,URYVL,RIBL,1.0,251,184,-0.15803062023638018,-0.046235044580726,-6.079995192795367e-08
213,URYVR,RIAR,1.0,252,183,0.24048411052621385,0.11756827782742277,1.4939988187559672e-07
214,URYVR,RIBR,1.0,252,185,-0.05569577828859493,-0.039320371873253615,-5.0499960071737844e-08
215,VA02,AVAL,1.0,254,51,0.15712589065461724,0.027038307512982605,5.929995311394161e-08
216,VA04,AVAR,1.0,256,52,-0.14465000239112474,-0.03300202708465991,-4.7399962522779625e-08
217,VA06,AVAR,1.0,258,52,-0.26642502883943076,0.006851562865071336,1.569998758665908e-08
218,VA12,AVAL,1.0,264,51,-0.5639339549678878,0.15918161587098284,3.246997432731345e-07
219,VB01,SAADL,-1.0,265,216,0.09944577151133653,-0.02393389986810528,-3.639997122002487e-08
220,VB01,SAADR,-1.0,265,217,0.12650118443984523,-0.023718975351647232,-3.6299971299090737e-08
221,VD02,VA02,-1.0,283,254,-0.0575417366903732,0.014640387517619364,2.399998102419219e-08
222,VD02,VB02,-1.0,283,266,-0.039230323726490005,-0.004422298302200436,-7.599993990994192e-09
223,VD05,VA06,-1.0,286,258,0.04537981626815648,-0.0013310778926632386,-4.699996283904314e-09
224,VD05,VB01,-1.0,286,265,-0.058823764713214065,-0.02251870570910681,-4.359996552728249e-08
225,VD05,VB04,-1.0,286,268,0.027177125345582295,-0.002156953036187892,-6.999994465389402e-09
226,VD06,VA06,-1.0,287,258,-0.026425289794141268,-0.001687578740693599,-4.699996283904314e-09
227,VD06,VB05,-1.0,287,269,0.00018046321921990144,-0.00017337515574877957,-1.9999984186826865e-10
228,VD11,VA11,-1.0,292,263,0.3038043533841739,0.0076194549005481555,7.39999414912594e-09
229,VD11,VB10,-1.0,292,274,0.014867648293783847,0.000911923972687971,9.999992093413432e-10
230,VD12,VA11,-1.0,293,263,0.0,0.0,0.0
231,VD12,VA12,-1.0,293,264,0.0,0.0,0.0
232,VD12,VB11,-1.0,293,275,0.0,0.0,0.0
233,VD13,VA12,-1.0,294,264,0.18360605779957936,0.004534752811357996,8.899992963137981e-09
