20,191,+
20,194,complex
20,233,no pred
20,235,no pred
20,239,+
20,249,+
20,266,+
21,5,no pred
21,11,complex
21,12,+
21,13,+
21,40,no pred
21,57,+
21,58,+
21,73,no pred
21,106,+
21,183,complex
21,195,complex
21,226,no pred
21,234,no pred
21,236,no pred
21,238,+
22,46,no pred
22,52,-
22,56,+
22,57,-
22,58,-
22,183,no pred
22,203,-
23,14,no pred
23,23,complex
23,56,+
23,57,+
23,76,+
23,80,no pred
23,82,no pred
23,167,+
23,168,+
23,186,+
23,187,+
23,189,+
23,201,+
23,212,complex
23,223,no pred
23,234,no pred
24,77,+
24,81,no pred
24,83,no pred
24,168,+
24,200,+
24,225,no pred
24,237,+
24,246,+
25,182,-
25,201,-
25,212,no pred
25,214,no pred
25,218,complex
25,226,complex
25,234,-
25,239,complex
26,3,+
26,51,complex
26,127,no pred
26,194,complex
26,219,complex
26,233,-
26,238,complex
26,239,complex
27,51,+
27,52,+
27,53,+
27,54,+
27,55,+
27,56,+
27,64,+
27,74,no pred
27,75,no pred
27,106,+
27,167,+
27,168,+
27,174,no pred
27,175,no pred
27,182,complex
27,183,complex
27,191,+
27,196,+
27,247,no pred
28,28,+
28,84,+
28,93,+
28,100,+
28,282,+
29,93,+
29,100,+
29,188,+
29,283,+
30,86,+
30,284,+
31,86,+
31,94,+
31,100,+
31,101,+
31,285,+
32,32,+
32,286,+
33,88,+
33,96,+
33,287,+
34,288,+
35,289,+
36,290,+
37,291,+
37,292,+
38,105,+
38,293,+
38,294,+
39,5,no pred
39,9,no pred
39,10,complex
39,12,+
39,13,+
39,18,-
39,19,-
39,20,no pred
39,40,no pred
39,45,no pred
39,70,no pred
39,72,no pred
39,73,no pred
39,129,no pred
39,147,no pred
39,183,complex
39,196,+
40,6,no pred
40,7,no pred
40,8,no pred
40,9,no pred
40,10,complex
40,11,complex
40,12,+
40,13,+
40,18,-
40,19,-
40,20,no pred
40,39,no pred
40,44,no pred
40,47,no pred
40,72,no pred
40,73,no pred
41,10,complex
41,12,+
41,17,no pred
41,47,no pred
42,11,complex
42,13,+
42,19,-
42,40,no pred
42,190,+
43,0,no pred
43,4,no pred
43,6,no pred
43,10,complex
43,12,+
43,20,no pred
43,47,no pred
43,51,+
43,52,+
43,53,+
43,55,+
43,56,+
43,59,no pred
43,63,+
43,111,+
43,182,complex
43,194,complex
43,196,+
43,247,no pred
44,1,no pred
44,5,no pred
44,7,no pred
44,11,complex
44,13,+
44,44,no pred
44,52,+
44,54,+
44,55,+
44,56,+
44,58,+
44,62,+
44,70,no pred
44,111,+
44,112,+
44,167,+
44,175,no pred
44,183,complex
44,213,complex
44,236,no pred
45,22,+
45,46,no pred
45,47,no pred
45,48,no pred
45,80,no pred
45,111,+
45,112,+
45,176,+
46,48,no pred
46,112,+
46,177,+
47,10,complex
47,12,+
47,14,no pred
47,40,no pred
47,45,no pred
48,7,no pred
48,10,complex
48,11,complex
48,13,+
48,15,no pred
48,22,no pred
48,40,no pred
48,42,no pred
48,83,no pred
48,111,+
48,190,+
49,4,no pred
49,13,+
49,18,-
49,20,no pred
49,51,+
49,56,+
49,57,+
49,75,no pred
49,106,+
49,182,complex
49,184,complex
49,247,no pred
50,16,no pred
50,17,no pred
50,19,-
50,21,no pred
50,52,+
50,58,+
50,74,no pred
50,183,complex
50,185,complex
50,248,no pred
51,29,complex
51,31,complex
51,32,complex
51,34,complex
51,35,complex
51,36,complex
51,37,complex
51,38,complex
51,52,complex
51,53,complex
51,55,+
51,56,+
51,57,-
51,58,-
51,84,complex
51,85,complex
51,86,complex
51,87,complex
51,88,complex
51,90,complex
51,91,complex
51,92,complex
51,99,complex
51,132,-
51,133,-
51,167,complex
51,168,complex
51,172,+
51,182,-
51,221,-
51,253,complex
51,254,complex
51,255,complex
51,256,complex
51,257,complex
51,258,complex
51,259,complex
51,260,complex
51,261,complex
51,262,complex
51,263,complex
51,264,complex
52,28,complex
52,29,complex
52,31,complex
52,32,complex
52,33,complex
52,34,complex
52,35,complex
52,36,complex
52,38,complex
52,51,complex
52,53,complex
52,54,complex
52,55,+
52,56,+
52,58,-
52,84,complex
52,85,complex
52,86,complex
52,87,complex
52,88,complex
52,89,complex
52,90,complex
52,91,complex
52,92,complex
52,94,complex
52,95,complex
52,132,-
52,133,-
52,167,complex
52,168,complex
52,191,complex
52,219,complex
52,222,-
52,240,complex
52,254,complex
52,255,complex
52,256,complex
52,257,complex
52,258,complex
52,259,complex
52,260,complex
52,261,complex
52,262,complex
52,263,complex
53,31,complex
53,32,complex
53,37,complex
53,51,complex
53,52,complex
53,54,complex
53,56,+
53,58,-
53,65,no pred
53,68,no pred
53,88,complex
53,90,complex
53,106,complex
53,168,complex
53,173,+
53,175,no pred
53,223,complex
53,254,complex
53,262,complex
53,266,complex
53,278,complex
54,13,-
54,28,complex
54,30,complex
54,31,complex
54,37,complex
54,51,complex
